Pop,ID,Tem,Heart,ABT
CNS,1,19.5,46,32.08
CNS,1,19.6,47,32.08
CNS,1,19.6,47,32.08
CNS,1,19.6,49,32.08
CNS,1,19.6,48,32.08
CNS,1,19.7,48,32.08
CNS,1,19.7,45,32.08
CNS,1,19.7,48,32.08
CNS,1,19.8,44,32.08
CNS,1,19.8,49,32.08
CNS,1,19.8,48,32.08
CNS,1,19.9,48,32.08
CNS,1,19.9,45,32.08
CNS,1,20,45,32.08
CNS,1,20,46,32.08
CNS,1,20,49,32.08
CNS,1,20.1,48,32.08
CNS,1,20.2,48,32.08
CNS,1,20.2,48,32.08
CNS,1,20.2,48,32.08
CNS,1,20.3,46,32.08
CNS,1,20.4,45,32.08
CNS,1,20.4,45,32.08
CNS,1,20.5,48,32.08
CNS,1,20.6,44,32.08
CNS,1,20.6,44,32.08
CNS,1,20.7,47,32.08
CNS,1,20.9,44,32.08
CNS,1,21,44,32.08
CNS,1,20.9,43,32.08
CNS,1,21,49,32.08
CNS,1,21.1,48,32.08
CNS,1,21.3,44,32.08
CNS,1,21.4,48,32.08
CNS,1,21.5,50,32.08
CNS,1,21.8,52,32.08
CNS,1,21.9,51,32.08
CNS,1,22,56,32.08
CNS,1,22.2,52,32.08
CNS,1,22.2,54,32.08
CNS,1,22.3,53,32.08
CNS,1,22.4,56,32.08
CNS,1,22.5,58,32.08
CNS,1,22.6,59,32.08
CNS,1,22.7,59,32.08
CNS,1,22.8,60,32.08
CNS,1,22.9,61,32.08
CNS,1,22.9,57,32.08
CNS,1,23.1,60,32.08
CNS,1,23.2,60,32.08
CNS,1,23.2,60,32.08
CNS,1,23.3,62,32.08
CNS,1,23.4,61,32.08
CNS,1,23.5,61,32.08
CNS,1,23.6,61,32.08
CNS,1,23.7,58,32.08
CNS,1,23.8,61,32.08
CNS,1,23.9,61,32.08
CNS,1,24,62,32.08
CNS,1,24.1,62,32.08
CNS,1,24.2,62,32.08
CNS,1,24.4,62,32.08
CNS,1,24.4,64,32.08
CNS,1,24.5,63,32.08
CNS,1,24.6,64,32.08
CNS,1,24.6,65,32.08
CNS,1,24.8,65,32.08
CNS,1,25,65,32.08
CNS,1,25,66,32.08
CNS,1,25.2,67,32.08
CNS,1,25.3,66,32.08
CNS,1,25.4,66,32.08
CNS,1,25.5,66,32.08
CNS,1,25.8,68,32.08
CNS,1,25.5,69,32.08
CNS,1,25.6,68,32.08
CNS,1,25.8,68,32.08
CNS,1,25.9,68,32.08
CNS,1,26,69,32.08
CNS,1,26.1,70,32.08
CNS,1,26.2,69,32.08
CNS,1,26.2,69,32.08
CNS,1,26.3,72,32.08
CNS,1,26.4,71,32.08
CNS,1,26.5,71,32.08
CNS,1,26.6,72,32.08
CNS,1,26.8,72,32.08
CNS,1,26.8,75,32.08
CNS,1,26.9,74,32.08
CNS,1,27,74,32.08
CNS,1,27.1,74,32.08
CNS,1,27.2,74,32.08
CNS,1,27.2,74,32.08
CNS,1,27.5,75,32.08
CNS,1,27.5,75,32.08
CNS,1,27.5,72,32.08
CNS,1,27.7,74,32.08
CNS,1,27.8,77,32.08
CNS,1,27.9,74,32.08
CNS,1,27.9,76,32.08
CNS,1,28.1,77,32.08
CNS,1,28.1,74,32.08
CNS,1,28.2,76,32.08
CNS,1,28.4,74,32.08
CNS,1,28.5,77,32.08
CNS,1,28.5,72,32.08
CNS,1,28.6,76,32.08
CNS,1,28.6,77,32.08
CNS,1,28.7,73,32.08
CNS,1,29.1,77,32.08
CNS,1,29,74,32.08
CNS,1,29,69,32.08
CNS,1,29.2,76,32.08
CNS,1,29.2,72,32.08
CNS,1,29.5,75,32.08
CNS,1,29.6,74,32.08
CNS,1,29.6,72,32.08
CNS,1,29.6,73,32.08
CNS,1,29.7,73,32.08
CNS,1,29.8,70,32.08
CNS,1,30.2,74,32.08
CNS,1,30.3,73,32.08
CNS,1,30.5,72,32.08
CNS,1,30.6,70,32.08
CNS,1,31.1,72,32.08
CNS,1,31.5,73,32.08
CNS,1,31.5,75,32.08
CNS,1,31.6,67,32.08
CNS,1,31.7,64,32.08
CNS,1,31.9,69,32.08
CNS,1,32.1,63,32.08
CNS,1,32,66,32.08
CNS,1,32,66,32.08
CNS,1,32.3,68,32.08
CNS,1,32.3,67,32.08
CNS,1,32.5,69,32.08
CNS,1,32.5,64,32.08
CNS,1,32.7,66,32.08
CNS,1,32.7,65,32.08
CNS,1,32.8,64,32.08
CNS,1,32.9,65,32.08
CNS,1,32.9,62,32.08
