Temp,Group,MarkerID,GR_SL,GR_SW,GR_WW,SGR_SL,SGR_SW,SGR_WW
28,1,FEN_K090,11.2,4.7,3.94,0.031494874,0.019584123,0.081728139
28,1,FEN_K091,26.2,14.6,9.22,0.070922164,0.057952677,0.155483074
28,1,FEN_K092,13.3,7.3,-0.83,0.038596885,0.032544056,-0.019049485
28,1,FEN_K093,65.3,38.5,22.94,0.175591017,0.152983123,0.404925146
28,1,FEN_K095,19.3,4.9,1.33,0.057402939,0.021965524,0.03065912
28,1,FEN_K098,57.9,24.3,21.33,0.147753636,0.095234592,0.314664153
28,1,FEN_K099,31.4,23.1,7.17,0.087648511,0.096256326,0.144868957
28,1,FEN_K100,19,6.7,0.78,0.05028556,0.026491577,0.01331875
28,1,FEN_K103,16.5,11.4,13.11,0.039713763,0.04154491,0.150411644
28,1,FEN_K109,13.6,1.6,8.28,0.039024832,0.006538771,0.138097216
28,1,FEN_K110,17.2,8.8,2.06,0.051740224,0.036934531,0.047777521
28,1,FEN_K111,11.1,5.4,5.11,0.028733324,0.020462457,0.06769091
28,1,FEN_K112,8.7,1.7,-1.56,0.025256874,0.007326113,-0.039801044
28,1,FEN_K113,6.1,5.3,-5.83,0.017280764,0.021825332,-0.120873615
28,1,FEN_K114,31.8,16.3,6.39,0.090057902,0.066339704,0.120221202
28,1,FEN_K116,11.3,4.4,-3.89,0.032449256,0.019834523,-0.084890034
28,1,FEN_K117,33.1,13.6,16.78,0.088251063,0.054586494,0.260837486
28,1,FEN_K121,29.1,13.5,4.06,0.082784439,0.058635407,0.089621761
28,1,FEN_K122,10.1,7.3,-5.28,0.024786749,0.027553856,-0.073562796
28,1,FEN_K123,40.1,21.9,17.78,0.107874153,0.086796178,0.276138372
28,1,FEN_K124,30.4,15.1,25.17,0.067561523,0.051858992,0.231997588
28,1,FEN_K125,12.3,10.3,4.11,0.03195217,0.039852599,0.064509865
28,1,FEN_K127,15.9,7.3,0.22,0.046235752,0.031963931,0.005367728
28,1,FEN_K129,12.9,9.6,-4.22,0.030347271,0.032288216,-0.046733537
28,1,FEN_K130,46.7,22.8,14.39,0.120905055,0.089871769,0.225975702
28,1,FEN_K131,24.7,11.4,5.83,0.077321206,0.051403088,0.143949278
28,1,FEN_K135,31.1,12.8,11.39,0.084176636,0.051065387,0.201459635
28,1,FEN_K137,37.6,13.8,22.5,0.095029039,0.051216696,0.278235515
28,1,FEN_K138,15.1,8.3,1.94,0.038057973,0.03044622,0.027843256
28,1,FEN_K139,17.8,11.6,0.39,0.040232555,0.040021127,0.004229372
28,1,FEN_K140,43.4,20.1,16.06,0.112221481,0.076443384,0.233223484
28,1,FEN_K142,30.4,20,12.72,0.084777495,0.081148427,0.21707972
28,1,FEN_K143,44.9,19.4,24.67,0.114333021,0.073957396,0.309297403
28,1,FEN_K144,18.1,14.6,5.39,0.055346834,0.065112661,0.1278072
28,1,FEN_K148,26.4,15.5,7.83,0.070275203,0.062705402,0.147692858
28,1,FEN_K149,49.9,32.2,16.22,0.133642322,0.127871798,0.260970513
28,1,FEN_K150,27.8,17.9,7.17,0.081510221,0.075720307,0.158753969
28,1,FEN_K152,23.2,11.4,6.33,0.058034613,0.04163793,0.086459275
28,1,FEN_K154,44.8,25.3,21.72,0.132321356,0.10964413,0.415868344
28,1,FEN_K155,18.1,12.1,7.11,0.051081931,0.050645622,0.12396864
28,1,FEN_K156,33.4,21.9,18.28,0.084424273,0.080083194,0.229269642
28,1,FEN_K158,18.8,3.8,2.56,0.053890203,0.015880769,0.053843276
28,1,FEN_K160,21.6,13.8,8.28,0.058013282,0.055257377,0.148030139
28,1,FEN_K163,41.8,28.4,32.11,0.111126679,0.10859571,0.414669951
28,1,FEN_K164,42.1,24.2,13.39,0.111602298,0.095409534,0.225258393
28,1,FEN_K165,48.2,30.4,26.17,0.121429777,0.112456509,0.339990985
28,1,FEN_K166,40.6,19.4,13.11,0.118687134,0.08101454,0.261821293
