年份,全国产量,福建产量
1985,0,
1986,0,
1987,0,
1988,0,
1989,0,
1990,0,
1991,0,
1992,0,
1993,0,
1994,120,
1995,230,
1996,1200,
1997,2045,459
1998,3400,
1999,4601,
2000,6075,
2001,7521,
2002,8931,
2003,11206,3156
2004,15446,6214
2005,17674,9006
2006,21637,11546
2007,25324,13844
2008,33010,22395
2009,42373,29113
2010,56511,41258
2011,76786,60407
2012,90694,65247
2013,110380,88470
2014,115397,91252
2015,127967,100979
2016,139697,112611
2017,148539,123387
2018,163169,134924
2019,180267,143970
2020,203485,155009
2021,217831,172413
