sample	time	status	pop
1	1	2	CNN
2	1	2	CNN
3	1	2	CNN
4	1	2	CNS
5	1	2	CNS
6	2	2	CNN
7	2	2	CNN
8	2	2	CNS
9	3	2	CNN
10	3	2	CNN
11	3	2	CNS
12	4	2	CNN
13	4	2	CNS
14	5	2	CNN
15	5	2	CNN
16	5	2	CNS
17	6	2	CNN
18	7	2	CNN
19	9	2	CNN
20	11	2	CNS
21	12	2	CNN
22	14	1	CNS
23	14	1	CNS
24	14	1	CNS
25	14	1	CNS
26	14	1	CNS
27	14	1	CNS
28	14	1	CNS
29	14	1	CNS
30	14	1	CNS
31	14	1	CNS
32	14	1	CNS
33	14	1	CNS
34	14	1	CNS
35	14	1	CNS
36	14	1	CNS
37	14	1	CNS
38	14	1	CNS
39	14	1	CNS
40	14	1	CNS
41	14	1	CNS
42	14	1	CNS
43	14	1	CNS
44	14	1	CNS
45	14	1	CNS
46	14	1	CNS
47	14	1	CNS
48	14	1	CNS
49	14	1	CNS
50	14	1	CNS
51	14	1	CNS
52	14	1	CNN
53	14	1	CNN
54	14	1	CNN
55	14	1	CNN
56	14	1	CNN
57	14	1	CNN
58	14	1	CNN
59	14	1	CNN
60	14	1	CNN
61	14	1	CNN
62	14	1	CNN
63	14	1	CNN
64	14	1	CNN
65	14	1	CNN
66	14	1	CNN
67	14	1	CNN
68	14	1	CNN
69	14	1	CNN
70	14	1	CNN
